component_id,replacement_date,occurrence,category,subcategory,component,tracking,method,life_years,life_months,current_cost,future_cost,source_page,replacement_year
0,2035-07-01,1,Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,15,180,60000.0,79452.01,60,2035
1,2035-07-01,1,Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,15,180,60000.0,79452.01,60,2035
2,2035-07-01,1,Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,15,180,60000.0,79452.01,60,2035
3,2035-07-01,1,Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,15,180,60000.0,79452.01,60,2035
4,2035-07-01,1,Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,15,180,60000.0,79452.01,60,2035
5,2026-07-01,1,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,One Time,3,36,50000.0,50744.46,59,2026
6,2029-07-01,1,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,One Time,3,36,25000.0,27724.92,59,2029
7,2038-07-01,1,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,36174.73,59,2038
7,2041-07-01,2,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,39529.11,59,2041
7,2044-07-01,3,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,43194.52,59,2044
7,2047-07-01,4,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,47199.82,59,2047
7,2050-07-01,5,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,51576.52,59,2050
7,2053-07-01,6,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,56359.05,59,2053
7,2056-07-01,7,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,61585.06,59,2056
7,2059-07-01,8,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,67295.66,59,2059
7,2062-07-01,9,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,73535.78,59,2062
7,2065-07-01,10,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,80354.53,59,2065
7,2068-07-01,11,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,87805.57,59,2068
7,2071-07-01,12,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,95947.52,59,2071
7,2074-07-01,13,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,104844.44,59,2074
7,2077-07-01,14,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,114566.35,59,2077
7,2080-07-01,15,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,125189.75,59,2080
7,2083-07-01,16,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,136798.21,59,2083
8,2051-07-01,1,Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,Fixed,30,360,120000.0,254994.3,61,2051
8,2081-07-01,2,Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,Fixed,30,360,120000.0,618938.1,61,2081
9,2052-07-01,1,Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,Fixed,30,360,120000.0,262644.13,61,2052
9,2082-07-01,2,Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,Fixed,30,360,120000.0,637506.24,61,2082
10,2053-07-01,1,Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,Fixed,30,360,120000.0,270523.46,61,2053
10,2083-07-01,2,Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,Fixed,30,360,120000.0,656631.43,61,2083
11,2054-07-01,1,Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,Fixed,30,360,120000.0,278639.16,61,2054
11,2084-07-01,2,Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,Fixed,30,360,120000.0,676330.37,61,2084
12,2055-07-01,1,Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,Fixed,30,360,120000.0,286998.33,61,2055
12,2085-07-01,2,Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,Fixed,30,360,120000.0,696620.28,61,2085
13,2040-07-01,1,Asphalt,Top Coat,Asphalt Seal Coat,Logistical,One Time,5,60,40000.0,61404.44,62,2040
14,2045-07-01,1,Asphalt,Top Coat,Asphalt Seal Coat,Logistical,One Time,5,60,40000.0,71184.57,62,2045
15,2056-07-01,1,Asphalt,Top Coat,Asphalt Seal Coat,Logistical,Fixed,5,60,40000.0,98536.09,62,2056
15,2061-07-01,2,Asphalt,Top Coat,Asphalt Seal Coat,Logistical,Fixed,5,60,40000.0,114230.34,62,2061
15,2066-07-01,3,Asphalt,Top Coat,Asphalt Seal Coat,Logistical,Fixed,5,60,40000.0,132424.27,62,2066
